code,name,weight
600519,贵州茅台,5.62
300750,宁德时代,2.92
601318,中国平安,2.53
600036,招商银行,2.31
600900,长江电力,1.83
000333,美的集团,1.73
601166,兴业银行,1.61
601899,紫金矿业,1.56
000858,五 粮 液,1.55
002594,比亚迪,1.17
600276,恒瑞医药,1.04
000651,格力电器,1.02
601398,工商银行,1.0
600887,伊利股份,0.99
300760,迈瑞医疗,0.98
600030,中信证券,0.98
601328,交通银行,0.91
600309,万华化学,0.9
002475,立讯精密,0.89
300059,东方财富,0.85
000725,京东方Ａ,0.82
601088,中国神华,0.78
601288,农业银行,0.73
002714,牧原股份,0.72
000568,泸州老窖,0.7
601816,京沪高铁,0.67
002415,海康威视,0.66
600809,山西汾酒,0.65
601601,中国太保,0.65
600919,江苏银行,0.64
600690,海尔智家,0.63
300498,温氏股份,0.63
601668,中国建筑,0.63
601857,中国石油,0.61
601012,隆基绿能,0.61
600016,民生银行,0.6
300308,中际旭创,0.59
000001,平安银行,0.58
603259,药明康德,0.58
300124,汇川技术,0.57
601225,陕西煤业,0.56
601919,中远海控,0.56
300274,阳光电源,0.56
002371,北方华创,0.54
600000,浦发银行,0.53
601138,工业富联,0.52
600031,三一重工,0.52
601985,中国核电,0.52
600028,中国石化,0.5
601728,中国电信,0.5
002352,顺丰控股,0.5
600406,国电南瑞,0.5
600938,中国海油,0.49
601988,中国银行,0.49
688981,中芯国际,0.49
000063,中兴通讯,0.48
601169,北京银行,0.47
601766,中国中车,0.47
600150,中国船舶,0.46
000338,潍柴动力,0.46
603501,韦尔股份,0.45
002142,宁波银行,0.44
000100,TCL科技,0.44
002230,科大讯飞,0.43
600837,海通证券,0.43
601229,上海银行,0.42
600089,特变电工,0.41
600660,福耀玻璃,0.4
600941,中国移动,0.4
600050,中国联通,0.4
600048,保利发展,0.4
600436,片仔癀,0.38
601888,中国中免,0.38
601939,建设银行,0.37
601390,中国中铁,0.37
601688,华泰证券,0.37
000625,长安汽车,0.37
600104,上汽集团,0.36
600905,三峡能源,0.36
688041,海光信息,0.36
000792,盐湖股份,0.36
601600,中国铝业,0.35
002027,分众传媒,0.35
600438,通威股份,0.34
601006,大秦铁路,0.34
601211,国泰君安,0.34
600019,宝钢股份,0.34
601818,光大银行,0.33
688111,金山办公,0.33
688012,中微公司,0.33
601989,中国重工,0.32
600585,海螺水泥,0.32
603288,海天味业,0.32
603986,兆易创新,0.31
300015,爱尔眼科,0.31
002304,洋河股份,0.31
603993,洛阳钼业,0.31
000002,万 科Ａ,0.3
600886,国投电力,0.29
600999,招商证券,0.29
002050,三花智控,0.29
000166,申万宏源,0.28
688271,联影医疗,0.28
601916,浙商银行,0.28
601658,邮储银行,0.28
601009,南京银行,0.28
600547,山东黄金,0.28
000425,徐工机械,0.28
688008,澜起科技,0.27
600893,航发动力,0.27
600795,国电电力,0.27
300014,亿纬锂能,0.27
603019,中科曙光,0.26
601628,中国人寿,0.26
600926,杭州银行,0.26
000538,云南白药,0.26
600111,北方稀土,0.25
601669,中国电建,0.25
000157,中联重科,0.25
002179,中航光电,0.25
600015,华夏银行,0.24
600760,中航沈飞,0.24
002311,海大集团,0.23
600009,上海机场,0.23
600958,东方证券,0.23
002241,歌尔股份,0.23
600489,中金黄金,0.23
000596,古井贡酒,0.23
600426,华鲁恒升,0.23
688036,传音控股,0.23
300408,三环集团,0.22
603369,今世缘,0.22
601186,中国铁建,0.22
601901,方正证券,0.22
600011,华能国际,0.22
000938,紫光股份,0.21
688256,寒武纪,0.21
002049,紫光国微,0.21
000977,浪潮信息,0.21
603799,华友钴业,0.21
600584,长电科技,0.21
000776,广发证券,0.21
002460,赣锋锂业,0.21
300122,智飞生物,0.21
601998,中信银行,0.2
600989,宝丰能源,0.2
601377,兴业证券,0.2
002466,天齐锂业,0.2
601995,中金公司,0.2
001979,招商蛇口,0.2
600188,兖矿能源,0.19
002129,TCL中环,0.19
601868,中国能建,0.19
600115,中国东航,0.19
002601,龙佰集团,0.19
600674,川投能源,0.19
000661,长春高新,0.19
601111,中国国航,0.19
688223,晶科能源,0.19
601633,长城汽车,0.18
600010,包钢股份,0.18
003816,中国广核,0.18
300782,卓胜微,0.18
002236,大华股份,0.18
002252,上海莱士,0.18
000768,中航西飞,0.18
000786,北新建材,0.18
000983,山西焦煤,0.17
300433,蓝思科技,0.17
002459,晶澳科技,0.17
601788,光大证券,0.17
600029,南方航空,0.17
601800,中国交建,0.17
601117,中国化学,0.17
601360,三六零,0.16
600346,恒力石化,0.16
601872,招商轮船,0.16
002648,卫星化学,0.16
600570,恒生电子,0.16
601838,成都银行,0.16
600372,中航机载,0.16
600845,宝信软件,0.16
002001,新 和 成,0.16
002493,荣盛石化,0.16
600196,复星医药,0.16
600085,同仁堂,0.16
300896,爱美客,0.16
002271,东方雨虹,0.16
601699,潞安环能,0.15
601689,拓普集团,0.15
605499,东鹏饮料,0.15
002180,纳思达,0.15
002920,德赛西威,0.15
601336,新华保险,0.15
600176,中国巨石,0.15
601066,中信建投,0.15
600023,浙能电力,0.15
600600,青岛啤酒,0.15
601021,春秋航空,0.15
600219,南山铝业,0.15
600233,圆通速递,0.15
000963,华东医药,0.15
300347,泰格医药,0.15
002736,国信证券,0.14
600745,闻泰科技,0.14
300661,圣邦股份,0.14
000895,双汇发展,0.14
600362,江西铜业,0.14
601881,中国银河,0.14
600741,华域汽车,0.14
002709,天赐材料,0.14
603392,万泰生物,0.14
601100,恒立液压,0.14
601898,中煤能源,0.13
000876,新 希 望,0.13
688599,天合光能,0.13
600183,生益科技,0.13
601865,福莱特,0.13
300033,同花顺,0.13
000301,东方盛虹,0.13
601618,中国中冶,0.13
000999,华润三九,0.13
300496,中科创达,0.12
600588,用友网络,0.12
688126,沪硅产业,0.12
600039,四川路桥,0.12
601878,浙商证券,0.12
300450,先导智能,0.12
300751,迈为股份,0.12
002074,国轩高科,0.12
002555,三七互娱,0.12
600332,白云山,0.12
601877,正泰电器,0.12
688396,华润微,0.11
601238,广汽集团,0.11
600460,士兰微,0.11
002938,鹏鼎控股,0.11
300142,沃森生物,0.11
002916,深南电路,0.11
000408,藏格矿业,0.11
601607,上海医药,0.11
600515,海南机场,0.11
002007,华兰生物,0.11
300316,晶盛机电,0.11
600875,东方电气,0.11
603806,福斯特,0.1
603260,合盛硅业,0.1
300413,芒果超媒,0.1
002812,恩捷股份,0.1
600025,华能水电,0.1
601615,明阳智能,0.1
002821,凯莱英,0.1
300628,亿联网络,0.1
300223,北京君正,0.09
603195,公牛集团,0.09
301269,华大九天,0.09
300999,金龙鱼,0.09
688303,大全能源,0.09
600061,国投资本,0.09
600918,中泰证券,0.09
601799,星宇股份,0.09
601319,中国人保,0.09
600018,上港集团,0.09
002202,金风科技,0.09
300759,康龙化成,0.09
600132,重庆啤酒,0.09
603659,璞泰来,0.09
600803,新奥股份,0.09
300919,中伟股份,0.09
000733,振华科技,0.09
605117,德业股份,0.09
688065,凯赛生物,0.08
002410,广联达,0.08
002603,以岭药业,0.08
000617,中油资本,0.08
601059,信达证券,0.08
000708,中信特钢,0.08
603486,科沃斯,0.07
600732,爱旭股份,0.07
603833,欧派家居,0.07
300763,锦浪科技,0.07
600754,锦江酒店,0.07
300454,深信服,0.07
688187,时代电气,0.07
603899,晨光股份,0.07
601808,中海油服,0.06
002841,视源股份,0.06
603290,斯达半导,0.06
688363,华熙生物,0.06
601698,中国卫通,0.05
601236,红塔证券,0.05
000877,天山股份,0.05
601155,新城控股,0.05
000069,华侨城Ａ,0.05
300957,贝泰妮,0.05
300979,华利集团,0.05
688561,奇安信,0.04
000800,一汽解放,0.04
600606,绿地控股,0.04
001289,龙源电力,0.01
